序號,日期,公司,注音,紀念品,徵求人(格式一)
06001,2016/11/23,東典(臨),ㄉ,麗仕香皂,永豐金
06002,2016/11/29,台驊,ㄊ,全家50元,群益金鼎
06003,2016/12/01,龍邦,ㄌ,全家50元,福邦證
06004,2016/12/02,太普高,ㄊ,全家50元,日盛證
06005,2016/12/08,中信金(臨),ㄓ,鍋寶健康隨身壺,蔡明季(北) 宜詮投資 (南)
06006,2016/12/09,中電,ㄓ,拉麵碗,群益金鼎
06007,2016/12/22,千如,ㄑ,7-11卡50元,中信託
06008,2016/12/28,光洋科(常),ㄍ,拉麵碗,
06009,2016/01/04,天鉞電,ㄊ,摩樂神奇牙刷,福邦證
06010,2017/03/13,台紙(臨),ㄊ,護唇膏2入,元大證
06011,2017/03/16,旺詮(臨),ㄨ,全家50元,台新銀
06012,2017/04/07,漢承泰(常),ㄏ,無,國票證
06013,2017/04/10,華韡,ㄏ,洗衣精,新城建投資
06014,2017/04/17,駿熠(臨),ㄐ,全家50元,康和證
06015,2017/04/19,華上,ㄏ,全家50元,台新銀
06016,2017/04/28,友訊,ㄧ,米一包,元大證
06017,2017/05/11,大同,ㄉ,保溫瓶 & 3C折價券,中信託
06018,2017/05/11,東森,ㄉ,獨享壺杯組,元大證
06019,2017/05/11,東碱,ㄉ,香皂禮盒,永豐金
06020,2017/05/17,千興,ㄑ,隔熱餐盒,宏遠證
06021,2017/05/17,富鼎,ㄈ,全家50元,元大銀行
06022,2017/05/22,友旺,ㄧ,防曬袖套,福邦證
06023,2017/05/19,大江生醫,ㄉ,面膜,亞東證
06024,2017/05/19,亞電,ㄧ,7-11 50元,福邦證
06025,2017/05/22,鉅橡,ㄐ,無,亞東證
06026,2017/05/22,名佳利,ㄇ,旅行萬用包,X
06027,2017/05/25,昇陽國際,ㄕ,手工香皂,永豐金
06028,2017/05/26,新紡,ㄒ,襪子一雙,亞東證
06029,2017/05/26,中壽,ㄓ,陶瓷杯,王銘陽 郭瑜玲 緯來電視
06030,2017/05/26,華新,ㄏ,米1公斤,中信託
06031,2017/05/26,新纖,ㄒ,摩擦巾,永豐金
06032,2017/05/26,茂迪,ㄇ,米1公斤,温麗嬌(北) 謝祖葳(南)
06033,2017/05/26,中化,ㄏ,沐浴乳,元大證
06034,2017/05/26,華立,ㄏ,指甲剪,永豐金
06035,2017/04/27,大眾證(臨),ㄉ,LED檯燈,元大證
06036,2017/05/26,達能,ㄉ,萬用插座,凱基證
06037,2017/05/26,台虹 ,ㄊ,全家50元,元大銀行
06038,2017/05/26,定穎,ㄉ,手工香皂,台新銀
06039,2017/05/26,晉倫3,ㄌ,無,永豐金
06040,2017/05/26,岱稜3,ㄉ,無,永豐金
06041,2017/05/26,高僑,ㄍ,折疊袖套,日盛證
06042,2017/05/26,華星光,ㄏ,全家88元,日盛證
06043,2017/05/26,事欣科,ㄕ,橄欖油,凱基證
06044,2017/05/31,宏遠證,ㄏ,陶瓷刀組,凱基證
06045,2017/05/31,華建,ㄏ,束帶+鎖,福邦證
06046,2017/05/31,新利虹,ㄒ,清潔用品,台新銀
06047,2017/05/31,中化生,ㄓ,沐浴乳,富邦證
06048,2017/05/31,上緯投控,ㄕ,7-11 50元,台新銀
06049,2017/05/26,融程電1,ㄖ,無,宏遠證
06050,2017/06/01,台苯,ㄊ,玻璃水瓶,永豐金
06051,2017/06/01,環宇-KY,ㄏ,7-11 50元,宏遠證
06052,2017/06/02,榮剛,ㄖ,曲線水瓶,群益金鼎
06053,2017/06/02,邦泰,ㄅ,眼罩,群益金鼎
06054,2017/06/02,榮群,ㄖ,原子筆,日盛證
06055,2017/06/02,亞信,一,全家50元,宏遠證
06056,2017/06/07,台中銀,ㄊ,洗碗精,兆豐證
06057,2017/06/07,和鑫光電,ㄏ,7-11 50元,元大證
06058,2017/06/07,聯詠,ㄌ,全家50元,陳聰敏
06059,2017/06/07,威剛,ㄨ,7-11 50元,群益金鼎
06060,2017/06/07,虹光,ㄏ,7-11咖啡券,郭祖訓
06061,2017/06/07,禾伸堂,ㄏ,防曬袖套,亞東證
06062,2017/06/07,太陽光10,ㄊ,乾木耳,群益金鼎
06063,2017/06/07,日揚,ㄖ,環保餐具組,日盛證
06064,2017/06/07,志聯,ㄓ,原子筆,群益金鼎
06065,2017/06/07,晶宇,ㄐ,軟糖一包,亞東證
06066,2017/05/26,康普3,ㄎ,無,亞東證
06067,2017/06/07,和勤1,ㄏ,無,邱森玉
06068,2017/06/07,晶宏,ㄐ,環保筷,邱聯鼎
06069,2017/06/08,元大金,ㄩ,伸縮手電筒,元富證
06070,2017/06/08,彩晶,ㄘ,7-11 50元,元大證
06071,2017/06/08,中石化,ㄓ,隨行杯,天京 
06072,2017/06/08,中纖,ㄓ,洗碗精,兆豐證
06073,2017/06/08,台聚,ㄊ,購物袋,台達化工
06074,2017/06/08,華泰銀行,ㄏ,陶瓷碗,永豐金
06075,2017/06/08,太電,ㄊ,洗碗精,孫道亨
06076,2017/06/08,大亞,ㄉ,芝麻油1罐,兆豐商銀
06077,2017/06/08,正崴3,ㄓ,無,鑫鴻國際投資
06078,2017/05/25,民間投資,ㄇ,未定,X
06079,2017/06/08,正文,ㄓ,全家35元,台新銀
06080,2017/06/08,昆盈,ㄎ,滑鼠,兆豐證
06081,2017/06/08,亞光,一,7-11 50元,永豐金
06082,2017/06/08,志超,ㄓ,全家50元,凱基證
06083,2017/06/08,建準1,ㄐ,無,福邦證
06084,2017/06/08,東和,ㄉ,時尚卡包,凱基證
06085,2017/06/08,達欣工,ㄉ,骨瓷碗,凱基證
06086,2017/06/08,大毅,ㄉ,7-11 100元,永豐金
06087,2017/06/08,橘子,ㄐ,米一包,群益金鼎
06088,2017/06/08,志聖,ㄓ,穴位環保筷,統一證
06089,2017/06/08,順達,ㄕ,7-11 100元,中信託
06090,2017/06/08,健喬,ㄐ,面膜,祐僑
06091,2017/06/08,得力,ㄉ,全家50元,台新銀
06092,2017/06/08,千附,ㄑ,全家50元,統一證
06093,2017/06/08,悠克,一,面膜,群益金鼎
06094,2017/06/08,建碁,ㄐ,全家50元,凱基證
06095,2017/06/08,崴強3,ㄨ,無,福邦證
06096,2017/06/08,強新3,ㄑ,無,吳玉堂
06097,2017/06/08,雙鴻,ㄕ,全家50元,台新銀
06098,2017/06/08,永新-KY,ㄩ,米一包,富邦證
06099,2017/06/08,凌泰,ㄌ,全家50元,中信託
06100,2017/06/08,全新,ㄑ,全家50元,亞東證
06101,2017/05/24,高鐵,ㄍ,未定,X
06102,2017/06/09,宏捷科,ㄏ,7-11 50元,祁幼銘
06103,2017/06/09,同亨,ㄊ,全家50元,富邦證
06104,2017/06/09,智捷,ㄓ,全家35元,永豐金
06105,,,,,
06106,2017/06/12,金像電,ㄐ,玻璃保鮮盒,楊長基
06107,2017/06/12,利奇,ㄌ,腰帶,宏遠證
06108,2017/06/12,翔名,ㄒ,手做清潔劑,吳宗豐
06109,2017/06/14,欣雄,ㄒ,餐具組,元大銀行
06110,2017/06/13,華邦電,ㄏ,香皂4個,中信託
06111,2017/06/13,錸德,ㄌ,保鮮盒, 李振中
06112,2017/06/13,瑞軒,ㄖ,電子體重機,
06113,2017/06/13,農林,ㄋ,進口餅乾,福邦證
06114,2017/06/13,聚亨,ㄐ,洗衣精,福邦證
06115,2017/06/13,奇鋐,ㄑ,香皂,元大銀行
06116,2017/06/13,嘉聯益,ㄐ,指甲剪,日盛銀
06117,2017/06/13,廣明,ㄍ,手工皂,富邦證
06118,2017/06/13,毅嘉,ㄧ,香皂2入,亞東證
06119,2017/06/14,永豐金,ㄩ,陶瓷湯鍋,凱基證
06120,2017/06/13,增你強,ㄗ,食品密封夾,台新銀
06121,2017/06/13,劍湖山,ㄐ,崁城咖啡,群益金鼎
06122,2017/06/13,仲琦,ㄓ,工具組,永豐金
06123,2017/06/13,智易,ㄓ,全家50元,日盛證
06124,2017/06/13,連展,ㄌ,手工皂禮盒,永豐金
06125,2017/06/13,耿鼎,ㄍ,3M菜瓜布,群益金鼎
06126,2017/06/13,立德,ㄌ,香皂2入,亞東證
06127,2017/06/13,群聯,ㄑ,米600g,群益金鼎
06128,2017/06/13,懷特,ㄏ,清潔用品,日盛證
06129,2017/06/13,智擎,ㄓ,iPASS 卡,群益金鼎
06130,2017/06/13,尖點3,ㄐ,無,群益金鼎
06131,2017/06/13,協益,ㄒ,全家100元,福邦證
06132,2017/06/13,愛地雅,ㄞ,照明燈,福邦證
06133,2017/06/13,應華3,ㄧ,無,群益金鼎
06134,2017/06/13,中砂1,ㄓ,無,永豐金
06135,2017/06/13,葡萄王,ㄆ,複方膠囊,群益金鼎
06136,2017/06/13,致新,ㄓ,全家50元,永豐金
06137,2017/06/13,新潤,ㄒ,7-11 100元,凱基證
06138,2017/06/13,統振,ㄊ,電池,群益金鼎
06139,2017/06/13,和椿,ㄏ,全家50元,永豐金
06140,2017/06/13,旺矽,ㄨ,全家100元,亞東證
06141,2017/06/13,凱碩,ㄎ,計算機,國票證
06142,2017/06/13,建舜電,ㄐ,全家50元,凱基證
06143,2017/06/13,廣隆,ㄍ,全家50元,凱基證
06144,2017/06/13,迅杰,ㄒ,全家50元,翁佳祥
06145,2017/06/13,晶焱,ㄐ,全家50元,群益金鼎
06146,2017/06/13,尼克森,ㄋ,口腔保健組,華南永昌
06147,2017/06/13,禾瑞亞,ㄏ,全家50元,中信託
06148,2017/06/14,曜越,ㄧ,7-11 50元,永豐金
06149,2017/06/14,榮成,ㄖ,環保杯,元大銀行
06150,2017/06/14,新日光,ㄒ,全家50元,日盛銀
06151,2017/06/14,環泥1,ㄏ,無,日盛證
06152,2017/06/14,廣宇,ㄍ,全家50元,鴻元
06153,2017/06/14,茂矽,ㄇ,清潔用品,亞東證
06154,2017/06/14,浩鑫,ㄏ,塑膠水壺,魏妤真
06155,2017/06/14,敦泰,ㄉ,7-11 50元,永豐金
06156,2017/06/14,工信,ㄍ,7-11 50元,台新銀
06157,2017/06/14,和大,ㄏ,洗手乳禮盒,群益金鼎
06158,2017/06/14,太極,ㄊ,全家50元,台新銀
06159,2017/06/14,東貝,ㄉ,燈泡,富邦證
06160,2017/06/14,楠梓電,ㄋ,滾輪按摩器,中信託
06161,2017/06/14,伍豐,ㄨ,7-11 100元,日盛銀
06162,2017/06/14,揚智,ㄧ,7-11 50元,中信託
06163,2017/06/14,櫻花5,ㄧ,一等米,林有土
06164,2017/06/14,圓剛,ㄩ,咖啡杯,富邦證
06165,2017/06/14,晶豪科,ㄐ,黑米,群益金鼎
06166,2017/06/14,新建,ㄒ,休閒頭燈,凱基證
06167,2017/06/14,聯陽,ㄌ,洗手乳,中信託
06168,2017/06/14,鈺德,ㄩ,纖維擦拭布,錸德
06169,2017/06/14,普誠,ㄆ,全家35元,日盛證
06170,2017/06/14,正達,ㄓ,7-11咖啡券45元,鍾志明
06171,2017/06/14,喬鼎,ㄑ,全家100元,永豐金
06172,2017/06/14,今國光,ㄐ,香皂3 入,福邦證
06173,2017/06/14,岳豐,ㄩ,束口背包,永豐金
06174,2017/06/14,崇越科技,ㄔ,面膜,日盛證
06175,2017/06/14,揚博,ㄧ,儲物罐組,中信託
06176,2017/06/14,零壹,ㄌ,全家50元,第一金
06177,2017/06/14,慧友,ㄏ,香皂,福邦證
06178,2017/06/14,洋華,ㄧ,全家35元,福邦證
06179,2017/06/14,美吾華1,ㄇ,無,日盛證
